nomZona;edad;sexe;nacionalitat;quantitat
TARRAGONA;49;D;ESTRANGER;110
TARRAGONA;45;H;ESPANYA;346
MONTGONS (ELS);49;H;ESPANYA;21
MONTGONS (ELS);24;D;ESPANYA;9
BONAVISTA;45;D;ESTRANGER;30
TORREFORTA;71;H;ESPANYA;87
TARRAGONA;39;D;ESPANYA;328
SANT PERE I SANT PAU;38;H;ESPANYA;75
BONAVISTA;33;D;ESPANYA;45
TARRAGONA;54;D;ESTRANGER;88
TORREFORTA;46;H;ESTRANGER;86
SANT SALVADOR;88;D;ESPANYA;9
SANT PERE I SANT PAU;23;D;ESPANYA;63
SANT SALVADOR;31;H;ESPANYA;20
ARRABASSADA I SAVINOSA;62;D;ESPANYA;25
CAMPSA;53;D;ESPANYA;9
TORREFORTA;39;D;ESPANYA;84
SANT SALVADOR;48;D;ESPANYA;62
MONTGONS (ELS);33;H;ESPANYA;9
TARRAGONA;37;H;ESPANYA;267
SANT PERE I SANT PAU;64;D;ESTRANGER;7
TARRAGONA;40;H;ESPANYA;313
MONNARS;82;H;ESPANYA;3
TARRAGONA;49;H;ESTRANGER;102
SANT PERE I SANT PAU;45;D;ESPANYA;121
SANT PERE I SANT PAU;70;H;ESPANYA;66
SANT SALVADOR;45;D;ESPANYA;41
MONTGONS (ELS);44;D;ESPANYA;18
TORREFORTA;70;D;ESPANYA;97
TORREFORTA;89;D;ESPANYA;45
TAMARIT;56;H;ESPANYA;17
CAMPSA;66;H;ESPANYA;5
SANT SALVADOR;59;H;ESTRANGER;10
BONAVISTA;34;H;ESPANYA;27
SANT PERE I SANT PAU;43;D;ESPANYA;111
