comunitatsAut;provincia;municipi;tipus;periode;total;año;mes
09 Cataluña;43 Tarragona;43142 Sarral;Plazas por vivienda turística;2020M08;8;2020;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2024M11;2;2024;11
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2024M08;2;2024;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2024M02;2;2024;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2023M08;3;2023;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2023M02;2;2023;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2022M08;3;2022;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2022M02;3;2022;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2021M08;3;2021;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2021M02;3;2021;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Viviendas turísticas;2020M08;3;2020;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2024M11;22;2024;11
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2024M08;22;2024;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2024M02;20;2024;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2023M08;33;2023;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2023M02;23;2023;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2022M08;29;2022;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2022M02;29;2022;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2021M08;29;2021;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2021M02;27;2021;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas;2020M08;29;2020;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2024M11;11;2024;11
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2024M08;11;2024;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2024M02;10;2024;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2023M08;11;2023;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2023M02;11,5;2023;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2022M08;9,67;2022;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2022M02;9,67;2022;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2021M08;9,67;2021;08
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2021M02;9;2021;02
09 Cataluña;43 Tarragona;43143 Savallà del Comtat;Plazas por vivienda turística;2020M08;9,67;2020;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2024M11;4;2024;11
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2024M08;4;2024;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2024M02;4;2024;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2023M08;4;2023;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2023M02;3;2023;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2022M08;5;2022;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2022M02;4;2022;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2021M08;3;2021;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2021M02;2;2021;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Viviendas turísticas;2020M08;2;2020;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2024M11;27;2024;11
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2024M08;27;2024;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2024M02;27;2024;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2023M08;27;2023;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2023M02;15;2023;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2022M08;29;2022;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2022M02;26;2022;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2021M08;10;2021;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2021M02;6;2021;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas;2020M08;6;2020;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2024M11;6,75;2024;11
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2024M08;6,75;2024;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2024M02;6,75;2024;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2023M08;6,75;2023;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2023M02;5;2023;02
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2022M08;5,8;2022;08
09 Cataluña;43 Tarragona;43144 Secuita, La;Plazas por vivienda turística;2022M02;6,5;2022;02
