latitu;long;tipus;places
41.1110078;1.2515978;Exclusives d'ús particular;1
41.1224325;1.252327;Exclusives d'ús particular;1
41.124904;1.2147141;Exclusives d'ús particular;1
41.1121413;1.2404868;Exclusives d'ús particular;1
41.1171193;1.2644523;Exclusives d'ús particular;1
41.1164008;1.2205377;Exclusives d'ús particular;1
41.1375025;1.2567241;Exclusives d'ús particular;1
41.1377154;1.257788;Exclusives d'ús particular;1
41.1160128;1.1904947;Exclusives d'ús particular;1
41.1208307;1.2493384;Exclusives d'ús particular;1
41.1195335;1.1928176;Exclusives d'ús particular;1
41.110942;1.2474398;Exclusives d'ús particular;1
41.1178623;1.2486835;Exclusives d'ús particular;1
41.1130211;1.2421311;Exclusives d'ús particular;1
41.115727;1.2593008;Exclusives d'ús particular;1
41.116479;1.218547;Exclusives d'ús particular;1
41.1177415;1.2453013;Exclusives d'ús particular;1
41.1212958;1.1925736;Exclusives d'ús particular;1
41.1209064;1.2538014;Exclusives d'ús particular;1
41.115841;1.2465038;Exclusives d'ús particular;1
41.1165675;1.2446072;Exclusives d'ús particular;1
41.1163988;1.2440048;Exclusives d'ús particular;1
41.1373822;1.255859;Exclusives d'ús particular;1
41.116535;1.2441987;Exclusives d'ús particular;1
41.11487;1.2459571;Exclusives d'ús particular;1
41.1110078;1.2515978;Exclusives d'ús particular;1
41.1189271;1.2089293;Exclusives d'ús particular;1
41.1176998;1.2376051;Exclusives d'ús particular;1
41.1214408;1.1927988;Exclusives d'ús particular;1
41.1131763;1.2424891;Exclusives d'ús particular;1
41.1621489;1.2447715;Exclusives d'ús particular;1
41.1152753;1.246954;Exclusives d'ús particular;1
41.1173445;1.1915415;Exclusives d'ús particular;1
41.1185035;1.2472425;Exclusives d'ús particular;1
41.1372216;1.2562848;Exclusives d'ús particular;1
41.1174638;1.245159;Exclusives d'ús particular;1
41.1197349;1.2382408;Exclusives d'ús particular;1
