codi;nom;adreca;latitud;longitud
25065;Florimar;ctra. Llevantina, 17;41.134685;1.3011083333
25145;Pinars;Av. de Boscos, 43-45;41.134635;1.2974383333
25819;Campings de Tamarit;Tamarit, 29;41.134149;1.35815
25580;Monnars;Ctra. a EL Catllar TP-2039;41.131995;1.304061667
25095;Amades i Gelats;Centre Comercial Les Gavarres (Mc Donald's);41.131255;1.204811667
25094;Gavarres Nord;Centre Comercial Les Gavarres;41.130939;1.201581
25079;Joan Molas;Av. Països Catalans, 20;41.130695;1.243895
25679;Frederic Escofet Alsina;Pl. Frederic Escofet Alsina;41.129589;1.200133
25823;Mediterrani;Mirador, 5;41.128532;1.296523
25701;Terra Ferma, 7;Terra Ferma, 7;41.127441;1.290839
25708;Sol, 9;Sol, 9;41.127127;1.291203
25709;Sol, 4;Sol, 4;41.125731;1.289218
25674;Pont i Gol 41;Pont i Gol 41;41.125707;1.235891
25822;Doctor Mallafre, 12;Doctor Mallafre, 12;41.124581;1.242153
25821;Doctor Mallafre, 11;Doctor Mallafre, 11;41.124499;1.242177
25526;Camí de Reus;Av. de la Florida, front 15;41.124195;1.178386667
25020;Camí de Reus;Av. de la Florida, front 2;41.123975;1.1782866667
25630;Savinosa;Ctra. N-340, amb camí de la Budellera;41.123475;1.281161667
25668;Mas del Sevil;Carabia, 3;41.123463;1.218442
25552;Francesc Macià;Francesc Macià, 13-17;41.122998;1.237536
25511;Argentina;Repíºblica Argentina, 9;41.122471;1.242702
25582;Montoliu;Av. Marques de Montoliu, 11;41.122455;1.248153333
25187;Sta. Tecla Llevant;Joan Fuster, CAP Sta Tecla;41.122185;1.26749
25667;Pg. Torroja, 1;Pg. Torroja, 1;41.121627;1.257802
25688;Illes Balears, 7;Illes Balears, 7;41.121602;1.215013
25687;Tenerife;Tenerife, 1;41.121404;1.21666
25508;Escola els í€ngels;Riu Segre, front 10;41.121325;1.211458333
25600;Pl. Generalitat;Francesc Macià, 2-A;41.121269;1.240473
25697;Tarradellas, 4;Tarradellas, 4;41.121239;1.195364
25666;Pg. Torroja, 52;Pg. Torroja, 52;41.121058;1.261458
25703;Joan Fuster, 3;Joan Fuster, 3;41.120879;1.271051
25534;Claret;Av. Marques de Montoliu, 5;41.120748;1.246784
25525;Camí de la Cuixa;Wolfang Amadeus Mozart, 30-32;41.120175;1.266966667
25017;C.I. Formiguera;Av. Carrasco i Formiguera, 8;41.120025;1.1854966667
25042;Escultor Martorell;Carrasco i Formiguera, 4-6;41.119549;1.183965
25640;Tarradellas;Riu Siurana amb av. Tarradellas;41.119475;1.207863333
25469;Bonavista;Carrer Vint-i-dos, Pl. Constitució;41.119068;1.192312
25601;Pl. Imperial Tàrraco;Lateral Via Roma, edifici Tràfic;41.118955;1.244213333
25039;Creu Roja;Av. Maria Cristina, 25;41.118835;1.252681667
25175;Segre;Riu Segre, 8;41.118835;1.211455
25033;Col·legi;Riu Clar, Bloc 16 direcció barris;41.118795;1.225055
25653;Via Roma, 2;Via Roma, 2;41.118751;1.244282
25193;Torreforta;Tortosa, 31;41.118575;1.2183466667
25106;Marenostrum;Passeig Marítim Rafael de Casanova;41.117903;1.273145
25530;Carrer Vint;Carrer Vint, front 30;41.117785;1.194105
25062;Estanislau Figueres;Estanislau Figueres, 7;41.117781;1.251612
25026;Carrer Vint-i-tres;Carrer Vint-i-tres, 4;41.117555;1.19012
25557;Icomar;Horta Gran, Bloc E-2;41.117535;1.225716667
25453;Rambla Nova, 105;Rambla Nova, 105;41.117529;1.248944
25141;Pau Casals;Pau Casals, front 13;41.117402;1.250151
25010;Beneficencia;Via Augusta, front 83;41.117193;1.264038
25458;Pau Vidal;Av. de la Pineda, Pl. Pau Vidal;41.116935;1.184249
25621;Ramon y Cajal;Ramon y Cajal, 11;41.116876;1.248134
25181;St. Francesc;St. Francesc, front 4;41.116842;1.253517
25483;Rambla Nova;Rambla Nova, 90;41.116751;1.249922
25144;Pilats;Passeig de St. Antoni, 17;41.116485;1.258776667
25695;Colom, 7;Colom, 7;41.116344;1.248506
25115;Miracle;Via Augusta, 41;41.116335;1.2610433333
25693;Colom, 14;Colom, 14;41.115909;1.24822
25682;Necrópolis;Vidal i Barraquer, 21;41.115895;1.240215
25164;Rambla Vella;Rambla Vella, 6-8;41.115877;1.256145
25684;Rambla Nova, 64;Rambla Nova, 64;41.115718;1.252028
25491;Turia;Ctra. Valencia front 206;41.115325;1.218226667
25664;Ctra. Valencia, 224;Ctra. Valéncia, 224;41.115221;1.204518
25539;Fortí;Passeig Marítim Rafael de Casanova, 22;41.115165;1.266848333
25875;Ctra. Valencia, 232;Ctra. Valencia, 232;41.115029;1.200763
25876;Ctra. Valencia, 216;Ctra. Valencia, 216;41.115013;1.209119
25665;Ctra. Valencia, 222;Ctra. Valéncia, 222;41.114909;1.205393
25573;Pere Martell, 33;Pere Martell, 33;41.114875;1.243756667
25678;Pere Martell, 34;Pere Martell, 34;41.114821;1.243775
25616;Casanova;Passeig Marítim Rafael de Casanova, 34;41.114465;1.270133333
25067;Fórum;Gasometre, 27;41.113988;1.249035
25615;Prim;Unió, 37-39;41.113974;1.251191
25683;Vidal i Barraquer, 25;Vidal i Barraquer, 25;41.113237;1.241433
