"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"MONTGONS (ELS)","18","D","ESPANYA","24","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","19","H","ESPANYA","14","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","37","H","ESTRANGER","179","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","18","H","ESPANYA","318","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","34","H","ESTRANGER","26","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","38","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","24","H","ESTRANGER","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","38","D","ESTRANGER","70","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","65","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","60","D","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","64","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","16","D","ESPANYA","267","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","16","D","ESPANYA","41","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","76","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","17","D","ESPANYA","76","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","17","D","ESPANYA","48","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","24","H","ESTRANGER","26","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","30","H","ESTRANGER","43","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","17","D","ESPANYA","15","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","64","D","ESTRANGER","10","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","31","D","ESTRANGER","36","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","72","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","80","H","ESTRANGER","8","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","54","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","51","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","26","H","ESPANYA","15","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","19","D","ESPANYA","38","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","20","D","ESTRANGER","77","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","34","D","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","49","D","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","57","H","ESTRANGER","5","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","24","D","ESTRANGER","19","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","69","D","ESPANYA","23","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","16","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","17","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","15","D","ESTRANGER","14","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","60","H","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","70","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","16","H","ESTRANGER","13","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","33","D","ESTRANGER","18","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","46","H","ESPANYA","33","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","14","D","ESPANYA","257","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","75","H","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","14","H","ESPANYA","102","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","14","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","34","D","ESPANYA","44","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","65","H","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","46","D","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","14","H","ESTRANGER","40","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","38","D","ESPANYA","22","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","32","D","ESPANYA","23","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","67","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","63","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","76","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","15","D","ESTRANGER","36","4314820002","AJUNTAMENT DE TARRAGONA"
"FERRAN","15","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","64","D","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","62","H","ESPANYA","22","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","13","H","ESPANYA","29","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","30","H","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","13","H","ESPANYA","8","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","63","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
