"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25589,0","Països Catalans","Av. Països Catalans, 29","41.13281833","1.246318333","4314820002","AJUNTAMENT DE TARRAGONA"
"25633,0","Solimar","Pl. Creu del Sud, 1","41.13246667","1.307856667","4314820002","AJUNTAMENT DE TARRAGONA"
"25516,0","Blauet","Passeig del Blauet s/n","41.13227833","1.356278333","4314820002","AJUNTAMENT DE TARRAGONA"
"25134,0","Països Catalans","Av. Països Catalans, URV","41.13221167","1.245633333","4314820002","AJUNTAMENT DE TARRAGONA"
"25588,0","Osona","Av. Mediterrani, 62","41.13197667","1.345206667","4314820002","AJUNTAMENT DE TARRAGONA"
"25111,0","Mas Rabassa","Ctra. N-340 Km-1168,5","41.13184333","1.311075","4314820002","AJUNTAMENT DE TARRAGONA"
"25177,0","Solimar","Ctra. N-340 Km-1168","41.13177167","1.306511667","4314820002","AJUNTAMENT DE TARRAGONA"
"25057,0","Escola d'art","Zona Educacional","41.13173167","1.24104","4314820002","AJUNTAMENT DE TARRAGONA"
"25132,0","Osona","Av. Mediterrani, front 62","41.13158333","1.345041667","4314820002","AJUNTAMENT DE TARRAGONA"
"25562,0","Joan Molas","Av. Països Catalans, 15","41.13073333","1.244195","4314820002","AJUNTAMENT DE TARRAGONA"
"25567,0","La Mora","C/ de la Baixa Garrotxa, 2","41.13047833","1.346391667","4314820002","AJUNTAMENT DE TARRAGONA"
"25700,0","Terra Ferma, 20","Terra Ferma, 20","41.13012603","1.29109605","4314820002","AJUNTAMENT DE TARRAGONA"
"25607,0","Platja Llarga","Ctra. N-340, accés a Ciutat Residencial","41.12999167","1.298603333","4314820002","AJUNTAMENT DE TARRAGONA"
"25699,0","Cota, 8","Cota, 8","41.12899395","1.29317836","4314820002","AJUNTAMENT DE TARRAGONA"
"25698,0","Cota, 5","Cota, 5","41.12891152","1.29344969","4314820002","AJUNTAMENT DE TARRAGONA"
"25643,0","Tennis","Ctra. N-340 accés tennis","41.12671333","1.292291667","4314820002","AJUNTAMENT DE TARRAGONA"
