ANY,MES,"MOTIU",NUMERO,"CODI_ENS","NOM_ENS"
2013,2,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,2,"NEIXEMENT",104,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,2,"CANVI RESIDENCIA",464,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,3,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,3,"NEIXEMENT",89,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,3,"CANVI RESIDENCIA",518,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,4,"OMISIO",34,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,4,"NEIXEMENT",102,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,4,"CANVI RESIDENCIA",428,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,5,"OMISIO",21,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,5,"NEIXEMENT",88,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,5,"CANVI RESIDENCIA",517,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,6,"OMISIO",23,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,6,"NEIXEMENT",128,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,6,"CANVI RESIDENCIA",435,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,7,"OMISIO",25,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,7,"NEIXEMENT",125,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,7,"CANVI RESIDENCIA",486,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,8,"OMISIO",18,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,8,"NEIXEMENT",113,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,8,"CANVI RESIDENCIA",402,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,9,"OMISIO",18,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,9,"NEIXEMENT",124,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,9,"CANVI RESIDENCIA",635,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,10,"OMISIO",24,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,10,"NEIXEMENT",132,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,10,"CANVI RESIDENCIA",661,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,11,"OMISIO",26,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,11,"NEIXEMENT",112,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,11,"CANVI RESIDENCIA",467,"4314820002","AJUNTAMENT DE TARRAGONA"
2013,12,"OMISIO",22,"4314820002","AJUNTAMENT DE TARRAGONA"
